state_0,probability
569,0.0006503688123761906
292,3.597868581162119e-05
260,1.1321727021934687e-06
273,0.0009945221959339705
893,0.04402002039293877
938,0.006143033492556588
535,0.003363766451943899
664,0.04613547491777138
561,0.021384125466212787
939,0.03573227893117853
1035,0.0005554696897096986
668,3.597868581162119e-05
772,3.618207012938049e-05
220,3.631088019729472e-05
894,0.00014544012562967955
484,0.00014522318235740296
169,0.006241213882216263
1056,0.008829916596565741
1032,0.004773084184470715
317,3.528717913123955e-05
880,0.0005219180567566717
669,1.355895451728705e-08
1289,3.525328174494633e-07
1197,0.001278317893458047
870,0.0023648511547463276
918,0.0004976136307844347
0,0.10262563188287276
1111,0.0004971729647626229
602,1.5592797694880108e-07
834,0.0004899799393912022
1128,1.355895451728705e-08
1105,1.355895451728705e-08
412,1.355895451728705e-08
545,1.355895451728705e-08
536,1.355895451728705e-08
254,1.355895451728705e-08
184,1.355895451728705e-08
604,1.355895451728705e-08
747,1.355895451728705e-08
193,1.355895451728705e-08
1239,1.355895451728705e-08
1222,1.355895451728705e-08
638,1.355895451728705e-08
724,1.355895451728705e-08
1291,1.5592797694880108e-07
471,4.8113950104593096e-05
965,4.782921205973007e-05
470,4.7612268787453474e-05
1171,3.190421997917643e-05
1201,6.355759929978305e-05
501,3.20398095243493e-05
784,3.18838815474005e-05
410,3.190421997917643e-05
1102,3.5795639925637815e-05
1114,0.0011314134007405006
388,0.000258094699236559
697,0.0004970373752174501
294,0.009160985589014339
222,0.0003858946250392481
919,0.026236217678655735
346,0.00037695927401235594
362,3.558547613061986e-05
287,3.502277951815245e-05
461,0.006580377570511682
1034,0.006580526719011372
45,6.37067477994732e-05
358,0.0050876993856125855
983,0.0010485546296853593
1068,0.0010405887439064532
491,0.002069021885088159
1125,0.000957560485919846
904,0.000964977234040802
974,4.320560856933519e-05
606,1.4474183947203925e-05
891,1.7626640872473166e-07
472,3.3205879612835984e-05
86,5.7828941016229265e-06
820,1.084716361382964e-07
847,0.0005124878038898986
926,0.0004022467241870963
892,0.00040534494529429637
393,0.00021139088040176375
519,2.3728170405252338e-07
949,2.3728170405252338e-07
735,2.3728170405252338e-07
1108,0.0008602953256900874
692,0.00030838486154117665
1113,1.084716361382964e-07
866,0.00040134505371169666
1095,0.0003217539906952217
1184,0.00029732075465507043
696,0.00040108743357586825
1067,0.0011520162321295184
868,0.0007977614274563595
1044,0.0007939852586232951
1097,0.0012236346298898286
1047,0.00040810419253856426
1048,0.002346282166534903
467,0.0007658843253862176
751,0.00038767762755827136
1000,0.00040006373250981304
1079,0.0003995213743291216
1214,0.003102010834987673
1037,0.0004030941588444267
302,0.00040226028314161355
446,0.00120833334971707
920,0.0011593109496598186
812,0.0004009247261216608
397,0.0008121542576764597
372,0.0020210842013922902
371,0.0028246353024275316
890,0.00039050466957512566
507,0.0003999755993054507
803,0.001601895563535844
579,0.0038179236335004287
867,0.0004012094641665238
488,0.00838826077107415
710,0.00040198232457400916
730,0.0008005342336551447
853,0.0004017179249609221
460,0.0004009857414169886
641,0.0004095346622401381
841,0.00040190097084690543
1066,0.0004036907528431873
1136,0.00040127725893911024
1117,0.00040272806707246
1144,0.000400368808986452
609,0.001203845335771848
1150,0.001202496219797378
619,0.0012041165148621938
423,0.0007510779470533402
457,0.00040157555593849055
952,0.0004025653596182525
1121,0.00040211791411918205
601,0.000399589169101708
1175,0.00040526359156719264
325,0.0004006196496450218
884,0.00040112133096216143
342,0.0003999484813964161
789,0.0014777497759755637
205,0.00018105949914659262
270,0.0014816276369675077
741,0.00027273159063797035
310,0.00018093068907867839
1134,0.0004062330568151787
578,0.00040017898362321
1140,0.0003999959377372266
451,0.0012084350418759496
511,0.00039868749862630843
1065,0.0008037680443075177
640,0.00040076879814471197
586,0.0004000908504188476
324,0.0004015213201204214
179,0.0003995213743291216
532,0.00039828750946804847
211,0.00033608580561999413
799,0.0004003349116001588
631,0.0004099007540121048
1100,0.0004008976082126262
108,0.0003817388054796996
250,0.0004009247261216608
322,0.0004004094858500039
656,0.002375250872861087
775,0.00040661948701892133
1076,0.00040560256543012484
1042,0.00039040975689350467
204,0.00040021966048676185
777,0.0003998806866238297
691,0.0004019077503241641
534,0.0019032704455915833
857,0.00040157555593849055
708,0.00040070100337212555
969,0.0004009111671671435
725,0.00040143318691605905
337,0.0003825320043189609
516,0.0003996976407378463
661,0.00040003661460077846
850,0.0022501559584845966
901,0.0008116593558365788
229,0.00039920951837522396
971,0.0004005993112132459
583,0.0004095075443311035
774,0.0004003891474182279
712,0.0003995213743291216
875,0.00040152809959768005
523,0.0004008704903035916
546,0.000401643350711077
678,0.0004002264399640205
683,0.0004016704686201116
232,0.00039923663628425854
780,0.00040445683377341406
339,0.00039905359039827515
92,0.00040008407094158896
647,0.0004013992895297658
417,0.0003988705445122918
332,0.00039855190908113554
336,0.0003989925751029474
272,0.00040109421305312685
846,0.00040104675671231635
959,0.0004005721933042113
589,0.00040132471527992074
1109,0.000400958623507954
481,0.0007839855296667958
1248,0.03284802490573849
611,0.0004017992786880258
967,0.00040149420221138686
328,0.0004008298134400398
286,0.00039881630869422266
522,0.00033596377502933855
625,0.000400958623507954
596,0.0014397711443726426
188,0.000788243041385224
1018,0.0003971078804250445
948,0.000798303785637051
1020,0.00039217920045801064
980,0.00040083659291729844
584,0.000399684081783329
984,0.00039946035903379377
259,0.0004000705119870717
743,0.00040036202950919335
1041,0.002006867637580915
1088,0.002005437167879341
936,0.00028400586131909454
1064,0.00040017898362321
133,0.00039920951837522396
787,0.0003995620511926734
687,0.0014959526724150215
599,0.0014903799421084167
801,0.0004471810994573856
608,0.00040093150559891943
997,0.0004678246077099551
676,0.00046758054652864395
1131,0.00046815680209562864
447,0.000397440074810718
731,4.354458243226736e-05
832,4.3686951454698876e-05
480,3.0127996937411826e-05
427,3.001952530127353e-05
550,0.00039934510792039685
1221,0.0004006671059858323
616,0.00040190097084690543
821,3.0168673800963687e-05
214,3.019579170999826e-05
191,2.9843258892548796e-05
752,3.105000584458734e-05
556,3.067713459536195e-05
115,0.00040057897278146997
989,0.00040059253173598723
411,0.00040210435516466474
770,0.00040084337239455704
865,0.0004022941805279068
977,0.00040228740105064813
831,0.0004013314947571794
240,0.00035032948734040417
1126,0.00040045016271355574
693,0.0012027945167967583
985,0.0012004894945288195
258,0.0012009504989824072
416,0.00040088404925810894
520,0.00039944002060201785
1293,0.0012028080757512756
964,0.0004015213201204214
1082,0.00035310907301644803
1207,0.0005263043785430141
1288,0.0004033111021167033
1292,0.00038885047712401667
829,0.00038887759503305124
988,0.0013512108329429824
1014,0.0005268263982919297
811,0.0004049449561360364
1215,0.0011483688733643681
1031,0.00040492461770426044
1142,0.0003469261897565651
414,0.0006095224618928634
215,0.0003105000584458734
230,0.00018777118163264972
329,0.0003090424708352651
56,2.705689373924631e-05
111,0.0003098356696745264
1290,8.984163263154399e-05
614,0.0006937981436950611
744,0.0004042805673646893
1294,0.00040373820918399787
644,0.00040487716136344994
679,0.0003391026730000905
652,0.00040389413716094663
361,0.0004018941913696468
672,0.00040489072031796725
257,0.00033874336070538236
526,0.00040340601479832433
530,0.0004023755342550105
1139,4.6378403926380356e-05
791,0.0003560988224875098
277,3.5456666062705635e-05
1115,0.000358186901483172
1188,0.00035755641009811815
817,0.0003584513010962591
399,3.563971194868901e-05
261,3.5890552607258825e-05
424,0.0003580784298470337
1151,0.000806995075482632
887,0.0008089407854558627
1138,0.0012243193570929515
856,0.0008089340059786041
1012,0.0008082153813891878
855,0.000808059453412239
1009,0.0008078289511854452
319,0.0008089814623194146
552,0.0008083035145935502
1270,0.000808269617207257
498,0.0008085475757748613
1271,0.0008086153705474478
1272,0.0008079442022988421
1273,0.0008073204903910469
954,0.0004306391749462954
551,1.4914849969015754e-07
1003,0.0009205309811331352
1086,0.0004597163529086174
147,0.00047695656357734794
105,0.0004760345546701724
479,0.00041863950019849634
677,0.00041928355053806745
864,0.000422049577259594
279,0.00042137162953372964
248,0.005962231613545824
548,0.0003835014695669469
1258,0.005841895892204902
154,0.00037052555009390323
1087,0.0003623020441791686
695,0.0005628728788761373
477,0.0005612729222430975
588,0.00034408558878519345
955,2.178923990928029e-05
591,4.745634081050467e-08
925,4.745634081050467e-08
709,5.42358180691482e-08
992,6.101529532779172e-08
922,4.745634081050467e-08
748,4.7456340810504676e-07
1062,0.010074811667138677
508,2.3490888701199813e-05
385,2.3667155109924547e-05
911,3.690069471879671e-05
455,3.692781262783128e-05
494,3.690069471879671e-05
431,3.6914253673313996e-05
291,2.3741729359769624e-05
64,5.917805699069933e-05
968,0.023609041430863453
778,1.6948693146608811e-07
849,0.00046302473781083546
808,0.0004601773573622052
223,0.00045958754284070323
621,0.0004602112547484984
547,0.0004596960144768415
405,0.00046132986849617457
403,0.00046010956258961877
783,0.0004615468117684512
206,0.0004623061132214193
415,0.00034531267416900796
244,0.00046238746694852296
386,0.000390518228529643
557,0.0006977234610278157
4,0.011575638783702663
958,8.813320436236583e-08
1223,0.02244550008739424
603,0.00658353680691421
749,0.006583401217369037
151,0.006028534901135358
1133,2.233159808997177e-05
288,3.084662152682804e-06
885,1.7355461782127424e-06
1185,2.1931608931711804e-05
746,3.7490509240298694e-06
1194,3.864302037426809e-07
947,1.0169215887965287e-07
946,1.0169215887965287e-07
945,1.0169215887965287e-07
1156,1.627074542074446e-07
377,1.627074542074446e-07
582,4.881223626223338e-07
996,3.593122947081068e-07
537,4.6100445358775973e-07
513,8.948909981409453e-07
1057,1.627074542074446e-07
727,3.782948310323087e-06
1038,3.728712492253939e-07
567,4.982915785102991e-06
1093,2.0338431775930575e-07
888,9.016704753995889e-07
1030,2.915175221216716e-07
590,3.728712492253939e-07
1204,3.1863543115624565e-07
1178,1.0169215887965287e-07
1179,5.287992261741949e-07
1210,1.0033626342792418e-06
929,4.067686355186115e-07
761,9.965831570205983e-07
1233,2.779585676043845e-07
1145,3.796507264840374e-07
404,8.609936118477277e-07
581,3.3219438567353274e-07
345,2.5762013582845393e-07
792,1.783002519023247e-06
316,3.728712492253939e-07
816,3.728712492253939e-07
1010,3.99989158259968e-07
1084,2.915175221216716e-07
859,2.915175221216716e-07
838,3.6609177196675034e-07
680,1.0169215887965287e-07
943,3.3897386293217623e-07
1001,2.982969993803151e-07
1132,2.71179090345741e-07
740,3.728712492253939e-07
779,2.71179090345741e-07
624,3.593122947081068e-07
418,3.3219438567353274e-07
595,3.3897386293217623e-07
717,3.4575334019081977e-07
1187,3.796507264840374e-07
940,1.0169215887965287e-07
766,3.254149084148892e-07
896,3.4575334019081977e-07
1166,3.796507264840374e-07
458,3.728712492253939e-07
873,4.542249763291162e-07
289,7.864193620026489e-07
771,2.982969993803151e-07
1106,2.3728170405252338e-07
585,5.287992261741949e-07
666,1.0169215887965287e-07
932,8.13537271037223e-07
814,3.864302037426809e-07
1075,2.915175221216716e-07
776,2.915175221216716e-07
1182,2.71179090345741e-07
540,3.4575334019081977e-07
1122,7.593014529680748e-07
728,3.525328174494633e-07
665,3.593122947081068e-07
690,3.4575334019081977e-07
1238,2.982969993803151e-07
1229,3.1185595389760216e-07
320,3.4575334019081977e-07
295,3.4575334019081977e-07
430,2.71179090345741e-07
1157,3.728712492253939e-07
788,2.169432722765928e-07
1228,3.1185595389760216e-07
881,2.8473804486302805e-07
1006,1.6948693146608811e-07
711,2.915175221216716e-07
736,1.1525111339693993e-07
862,1.1525111339693993e-07
369,2.8609394031475674e-06
239,0.00024869156427882044
555,1.4236902243151402e-07
1225,5.30833069351788e-06
1209,5.226976966414158e-06
1176,7.186245894162136e-07
253,3.9320968100132446e-07
1213,6.677785099763872e-06
558,0.00035430226101396925
671,0.00021254339153573316
882,0.00021266542212638873
773,0.00011721038232468791
1234,0.00020064540894681378
1174,0.00020068608581036562
2,0.011518521687798591
835,0.003082987621799919
694,0.0004316764349668678
200,0.013524277491109089
216,6.420164963935418e-06
297,0.013573713439279118
449,0.00048419704528957923
233,0.00011311557806046721
202,0.00018385264377715377
172,0.0003383162536380878
975,9.687195054875733e-05
714,0.00017679520795090583
474,0.0003212997657188926
395,0.0003216929753998939
699,0.0003222827899213959
296,0.00032190313919491185
571,0.0003702408120490402
825,0.00036009193459285086
972,0.00036967811543657276
499,0.0003797253007338825
978,0.00036971879230012465
759,0.00036967811543657276
707,0.000369501849027848
878,0.001207153720674066
389,0.0013146897889506697
61,0.001247301784999753
343,0.0007984800520457757
612,0.0001442808350184515
347,3.151778977543375e-05
615,3.152456925269239e-05
406,3.154490768446832e-05
441,3.1551687161726964e-05
763,3.155846663898561e-05
145,2.772806198785202e-06
768,0.00013394213219902014
428,0.0005547917419838342
66,3.694815105960721e-06
126,8.149609612615381e-05
402,4.657500876688102e-06
495,2.8433127622750943e-05
21,1.72741080550237e-05
315,6.6710056225052285e-06
951,6.6438877134706545e-06
1,1.7084282691781684e-05
529,1.705716478274711e-05
700,8.887894686081661e-06
1024,1.6948693146608811e-07
174,0.0032394782953611874
592,0.003239525751701998
715,0.00024926781984580513
327,0.00024926781984580513
1116,1.9897765754118748e-05
366,1.988420679960146e-05
1205,2.0338431775930575e-08
58,6.993030792290796e-05
252,0.0007170992070330189
53,0.0006622125591470409
54,5.567984672523927e-05
517,8.006562642458004e-06
704,0.0004394457159052733
435,2.71179090345741e-08
341,6.146274082686219e-05
392,1.0345482296690019e-05
798,7.233702234972641e-06
425,8.379433891683396e-06
620,7.4845428935424515e-06
306,5.76933514710564e-06
78,1.5660592467466544e-06
144,0.00019695737331811169
767,0.0029437846152481914
218,0.0027829889736276842
95,3.254149084148892e-06
69,3.1592364025278827e-06
136,3.3016054249593966e-06
1096,7.931988392612924e-07
255,3.4575334019081977e-07
176,6.779477258643525e-09
280,3.3897386293217627e-08
490,2.5762013582845393e-07
355,1.355895451728705e-07
450,4.054127400668828e-05
225,1.355895451728705e-08
915,5.111725853017218e-06
91,0.00031711682825030953
981,0.0003167236185693082
1198,0.0003058086601828921
71,0.0009553503763335282
1206,0.00031593719920730557
786,0.00031651345477429026
1159,0.000314825364936888
605,0.00031268305012315667
872,0.0012496407046539851
905,0.001245437428753626
927,0.00011304778328788078
1112,0.0009569435534893095
1186,0.000311211903558031
1083,0.0003090289118807478
1141,0.000310642427468305
1170,0.0003099644797424406
1200,0.0003121949277605343
662,0.00011323082917386416
802,0.0018793863472093822
1257,0.002003159263520437
269,8.948909981409453e-07
454,8.203167482958666e-07
75,2.440611813111669e-07
162,4.4744549907047264e-07
180,1.8914741551615435e-06
378,1.2745417246249826e-06
285,1.99994579129984e-06
960,2.3762067791545554e-05
1217,1.2203059065558345e-07
396,3.0304263346136557e-06
1120,4.159209298177802e-05
685,2.1762122000245714e-06
754,2.3592580860079467e-06
264,2.284683836162868e-06
73,2.3660375632665904e-06
587,2.3592580860079467e-06
164,1.7897819962818906e-06
876,1.2609827701076956e-06
909,4.204631795810714e-05
305,5.229688757317615e-05
618,1.4711465651256449e-06
686,0.0002703384351656692
576,0.0002701825071887204
1250,0.00019662517893243814
518,7.457424984507877e-08
360,7.457424984507877e-08
626,7.457424984507877e-08
908,7.457424984507877e-08
781,7.457424984507877e-08
837,7.457424984507877e-08
566,2.5762013582845396e-06
632,1.9660484050066223e-07
452,1.355895451728705e-08
282,1.355895451728705e-08
96,1.355895451728705e-08
217,0.0023523430192041303
806,0.0007112146207725162
1027,0.00035643101687318334
931,1.4548758197049005e-05
146,3.736847864964311e-05
422,3.801930846647289e-05
127,1.4223343288634116e-05
716,1.4209784334116829e-05
307,1.2297971747179354e-05
468,5.030372125913496e-06
364,9.647196139049735e-06
15,2.3050222679387986e-07
8,8.813320436236583e-08
860,1.7626640872473166e-07
1052,1.7626640872473166e-07
1226,3.6222746992932354e-05
363,1.6813103601435942e-05
